Age,Gender,Education_Level,Income,Joining Designation,Quarterly Rating,Target_Var,tenure_Months,Total Business Value,Quarterly_Rating_Increase,Income_Increase,City_Encoded
38.0,0.0,1,113125,2,1,0,86,16391700,1,0,0.5953765525951102
31.0,0.0,2,81288,3,1,0,7,4732810,1,0,0.7050484531983688
32.0,0.0,2,73933,3,1,1,5,0,0,0,0.7698585742141875
31.0,1.0,1,55108,2,1,1,2,0,0,0,0.6342365899109041
31.0,0.0,1,36856,1,1,0,13,2888690,1,0,0.683166962884123
32.0,0.0,0,33956,2,1,1,4,0,0,0,0.5955893821231233
30.0,1.0,0,50832,3,1,0,12,5971490,1,0,0.6098957440667345
35.0,0.0,1,65389,2,3,0,82,30318780,1,0,0.7092607604412382
25.0,0.0,0,32466,1,1,0,3,184290,0,0,0.7028288409112735
28.0,0.0,2,70415,1,2,0,65,22457270,1,0,0.7302630624839633
41.0,1.0,2,123390,1,1,1,69,0,0,0,0.5953765525951102
45.0,0.0,0,104473,2,1,1,65,3363930,1,0,0.5700438883328994
36.0,0.0,2,123361,4,3,0,17,23995570,1,0,0.654375558571176
30.0,1.0,2,45357,1,1,1,2,0,0,0,0.7740665011127292
34.0,1.0,1,45193,2,1,1,0,0,0,0,0.6989110821540374
22.0,1.0,1,54992,2,2,0,1,700000,0,0,0.6001946113311858
31.0,1.0,0,16749,3,1,0,5,400280,0,0,0.5700438883328994
29.0,0.0,2,67194,3,1,0,1,442730,0,0,0.654375558571176
29.0,1.0,0,37575,2,1,1,14,3415470,1,0,0.683166962884123
31.0,1.0,0,53577,2,1,1,6,1126370,1,0,0.5955893821231233
35.0,0.0,2,46139,3,1,0,10,359320,0,0,0.5953765525951102
39.0,0.0,1,47419,1,1,1,5,117860,0,0,0.698531179865061
33.0,0.0,2,86072,3,1,1,11,1457350,1,0,0.6741618832945772
34.0,1.0,2,87438,2,2,1,22,4847980,0,0,0.5955893821231233
23.0,1.0,0,64179,2,1,1,1,0,0,0,0.7698585742141875
32.0,0.0,0,83926,3,1,1,11,0,0,0,0.5313237578674669
31.0,0.0,2,26067,1,1,1,4,0,0,0,0.8160639742891412
31.0,0.0,0,39660,2,1,1,5,0,0,0,0.6999473490155224
38.0,0.0,0,59318,3,1,1,2,0,0,0,0.654375558571176
38.0,1.0,1,83429,3,1,0,6,1613030,1,0,0.7698585742141875
25.0,1.0,1,62431,1,1,1,9,0,0,0,0.5953765525951102
32.0,0.0,1,45068,1,1,1,9,0,0,0,0.7092607604412382
43.0,0.0,1,42714,1,3,1,10,2119680,0,0,0.7028288409112735
27.0,1.0,0,22918,2,1,1,9,1220340,1,0,0.5953765525951102
39.0,0.0,1,29312,1,2,1,16,1410810,0,0,0.5700438883328994
31.0,1.0,1,39164,2,1,1,10,0,0,0,0.7302630624839633
23.0,1.0,2,22947,1,1,1,11,0,0,0,0.7302630624839633
29.0,0.0,2,68341,1,3,1,39,6644580,1,0,0.654375558571176
43.0,0.0,1,56611,1,3,1,62,11593960,1,0,0.7092607604412382
42.0,1.0,1,132558,3,1,0,7,10574260,1,0,0.5953765525951102
29.0,1.0,0,26562,1,1,1,4,0,0,0,0.6753359528111106
38.0,1.0,0,31674,1,2,1,50,10289970,1,0,0.7092607604412382
39.0,0.0,1,35091,1,1,1,0,0,0,0,0.654375558571176
43.0,0.0,2,80716,1,3,1,25,9979710,0,0,0.7194295503654974
31.0,1.0,2,49475,1,1,1,12,4758570,1,0,0.654375558571176
25.0,0.0,2,41638,1,1,1,6,0,0,0,0.763421552435784
36.0,1.0,0,23107,2,1,1,6,0,0,0,0.5700438883328994
27.0,0.0,1,52307,2,1,0,15,4593470,1,0,0.7065528646360607
36.0,1.0,1,110964,3,3,0,4,13593340,1,0,0.5953765525951102
23.0,0.0,1,20170,1,1,1,4,250000,0,0,0.683166962884123
29.0,1.0,1,65035,2,1,1,5,149040,0,0,0.5953765525951102
31.0,0.0,2,65571,2,1,0,6,0,0,0,0.7302630624839633
43.0,0.0,2,47668,3,1,0,3,0,0,0,0.6342365899109041
39.0,0.0,1,103119,4,1,1,11,7596440,1,0,0.654375558571176
32.0,1.0,0,96956,3,2,0,4,2207980,1,0,0.5953765525951102
23.0,0.0,1,49888,2,1,1,5,0,0,0,0.6001946113311858
44.0,1.0,0,42544,1,2,1,12,1787540,0,0,0.6077892105070524
32.0,1.0,1,49653,2,2,1,51,2193610,0,0,0.683166962884123
24.0,0.0,0,55804,2,1,1,9,115940,0,0,0.6989110821540374
39.0,0.0,1,29231,1,3,1,51,7165360,0,0,0.7050484531983688
33.0,0.0,1,48682,2,1,0,0,0,0,0,0.6077892105070524
25.0,0.0,0,92079,3,1,0,6,152640,0,0,0.5955893821231233
27.0,1.0,0,68751,1,1,0,7,0,0,0,0.5313237578674669
34.0,0.0,2,58130,2,1,0,0,0,0,0,0.6077892105070524
43.0,1.0,1,40777,1,1,1,2,0,0,0,0.5955893821231233
35.0,1.0,2,22793,1,1,1,9,580500,0,0,0.7302630624839633
26.0,1.0,0,10747,2,1,1,0,0,0,0,0.5313237578674669
25.0,1.0,0,41099,1,1,0,21,5648380,1,0,0.5313237578674669
51.0,1.0,2,59796,1,1,1,9,0,0,0,0.6999473490155224
45.0,1.0,2,52199,1,2,1,10,1250680,0,0,0.683166962884123
36.0,0.0,1,83253,3,1,1,0,0,0,0,0.5313237578674669
27.0,1.0,1,98996,4,3,1,12,12922130,0,0,0.7698585742141875
35.0,0.0,0,27882,1,3,0,6,4987200,0,0,0.6741618832945772
36.0,0.0,2,109652,2,2,1,57,4760130,1,0,0.6989110821540374
39.0,0.0,0,31056,3,1,1,10,1027790,1,0,0.7065528646360607
32.0,0.0,1,82822,3,1,0,10,950000,1,0,0.7740665011127292
33.0,0.0,1,106727,3,1,1,9,3570400,1,0,0.6098957440667345
34.0,0.0,1,86823,3,3,1,30,11940020,1,0,0.7698585742141875
33.0,0.0,0,51086,2,1,1,7,2256420,1,0,0.7092607604412382
32.0,1.0,0,12934,2,1,1,4,181250,0,0,0.7065528646360607
37.0,0.0,2,31137,1,1,1,4,0,0,0,0.7194295503654974
35.0,0.0,2,68045,2,1,0,6,660480,1,0,0.5955893821231233
35.0,0.0,0,61243,1,1,0,14,5181790,1,0,0.6989110821540374
35.0,0.0,1,35731,1,1,1,3,200000,0,0,0.6999473490155224
28.0,0.0,0,87872,3,1,0,1,0,0,0,0.7092607604412382
38.0,0.0,1,77182,1,2,1,66,17244320,0,0,0.6741618832945772
27.0,0.0,2,35112,1,1,1,5,980720,1,0,0.6989110821540374
34.0,1.0,1,76868,2,1,0,18,23376420,1,1,0.5313237578674669
25.0,1.0,1,29698,1,1,0,14,4507470,1,0,0.7698585742141875
36.0,0.0,0,109296,2,1,1,31,0,0,0,0.698531179865061
29.0,0.0,0,96233,3,1,0,7,0,0,0,0.7340256711699624
26.0,0.0,2,71812,1,1,1,34,5083330,1,0,0.6999473490155224
43.0,0.0,1,43720,2,1,1,12,2308640,1,0,0.5955893821231233
29.0,0.0,0,34793,3,1,0,3,0,0,0,0.654375558571176
42.0,0.0,2,50345,1,3,1,63,13721360,1,0,0.7340256711699624
29.0,1.0,1,62542,2,1,1,3,0,0,0,0.6989110821540374
35.0,1.0,2,20993,1,1,0,3,195960,0,0,0.7340256711699624
27.0,0.0,0,34536,2,1,0,8,1252200,1,0,0.5700438883328994
31.0,1.0,2,55239,3,1,0,4,0,0,0,0.7302630624839633
24.0,1.0,1,20886,1,1,1,2,212640,0,0,0.763421552435784
35.0,0.0,1,55670,1,1,0,14,5097450,1,0,0.6741618832945772
43.0,0.0,2,84481,3,1,1,15,236100,0,0,0.8160639742891412
36.0,0.0,1,65170,3,2,0,13,35969490,1,0,0.8160639742891412
32.0,0.0,1,44273,2,1,1,3,0,0,0,0.654375558571176
36.0,0.0,2,19649,1,1,1,5,577480,0,0,0.698531179865061
34.0,1.0,2,51658,1,3,0,69,20915380,1,0,0.5955893821231233
38.0,1.0,1,55263,1,3,1,60,6705230,0,0,0.7028288409112735
40.0,0.0,0,44342,1,1,0,4,1722620,1,0,0.6741618832945772
40.0,0.0,2,152234,3,3,0,29,41826510,1,0,0.5700438883328994
28.0,0.0,1,43855,1,1,0,0,0,0,0,0.7050484531983688
29.0,1.0,0,52465,2,1,1,5,0,0,0,0.7050484531983688
34.0,1.0,0,73359,1,1,1,27,3447760,1,0,0.7302630624839633
38.0,0.0,2,31340,1,1,1,3,202500,0,0,0.6999473490155224
36.0,0.0,1,56543,3,1,0,15,8594640,1,0,0.7194295503654974
35.0,0.0,2,50504,1,3,1,26,7055630,1,0,0.7092607604412382
31.0,0.0,1,55600,1,4,0,31,41667690,1,1,0.5953765525951102
38.0,1.0,0,111743,2,3,0,60,29530380,1,0,0.6989110821540374
33.0,1.0,2,37929,1,2,0,7,7429260,1,0,0.5700438883328994
32.0,1.0,2,95826,3,1,0,5,1277730,1,0,0.6342365899109041
29.0,1.0,0,31890,2,1,1,5,1682570,1,0,0.763421552435784
26.0,0.0,2,54026,2,1,1,4,0,0,0,0.7194295503654974
39.0,0.0,0,70144,2,1,1,7,381660,0,0,0.8160639742891412
27.0,0.0,2,39391,1,1,0,0,0,0,0,0.7295003150180094
30.0,1.0,0,68356,3,1,1,2,242560,0,0,0.6098957440667345
29.0,1.0,2,108091,3,1,1,7,158570,0,0,0.7340256711699624
35.0,0.0,1,46169,2,1,1,0,0,0,0,0.5313237578674669
30.0,1.0,2,70570,1,2,1,24,1583300,0,0,0.6001946113311858
40.0,1.0,2,51189,1,4,0,29,19649270,1,1,0.6379843993734239
40.0,0.0,2,52641,1,4,0,27,16475160,1,0,0.7295003150180094
32.0,1.0,2,47682,2,1,0,13,26819450,1,1,0.7092607604412382
31.0,0.0,0,59926,2,2,0,5,1828010,1,0,0.7028288409112735
28.0,1.0,0,51593,2,1,1,55,585630,0,0,0.6999473490155224
41.0,1.0,0,14989,1,1,1,2,0,0,0,0.6753359528111106
33.0,1.0,0,96680,3,1,0,7,6291840,1,0,0.7302630624839633
28.0,1.0,0,17660,2,1,1,10,1648010,1,0,0.8160639742891412
36.0,0.0,2,100882,3,2,0,3,1395620,0,0,0.684190247889322
40.0,1.0,1,67624,1,2,0,33,9218380,1,0,0.7302630624839633
38.0,0.0,0,86336,3,2,1,3,4035480,1,0,0.7698585742141875
30.0,0.0,0,41093,2,1,0,3,303910,0,0,0.5700438883328994
30.0,0.0,0,55828,2,1,0,8,1034740,1,0,0.6989110821540374
29.0,0.0,0,66483,2,2,1,9,1049120,0,0,0.654375558571176
28.0,1.0,2,85926,3,1,0,11,1613430,1,0,0.7698585742141875
38.0,1.0,1,78135,2,2,1,6,3530650,0,0,0.7065528646360607
27.0,1.0,1,71458,2,1,0,0,0,0,0,0.6342365899109041
28.0,0.0,1,115293,3,2,1,2,1883780,0,0,0.763421552435784
33.0,1.0,1,39119,1,1,1,43,942130,0,0,0.5700438883328994
28.0,0.0,0,49553,2,1,1,1,0,0,0,0.7065528646360607
30.0,0.0,0,64842,2,1,1,2,1602040,1,0,0.683166962884123
45.0,1.0,1,65856,1,2,0,55,18872890,1,0,0.6989110821540374
35.0,0.0,1,95352,1,3,0,63,23650380,1,0,0.7092607604412382
33.0,1.0,0,114230,3,1,1,10,2959740,1,0,0.7092607604412382
27.0,1.0,1,38764,1,2,1,16,1703720,0,0,0.6741618832945772
23.0,0.0,2,83294,2,1,1,7,2241630,1,0,0.6989110821540374
33.0,1.0,2,46186,1,2,1,7,850280,0,0,0.7065528646360607
30.0,1.0,2,49664,2,1,1,20,0,0,0,0.7698585742141875
32.0,1.0,1,39216,2,1,1,3,0,0,0,0.7092607604412382
31.0,0.0,0,29685,1,1,0,21,200000,0,0,0.7740665011127292
30.0,0.0,0,13653,1,2,1,11,2256960,0,0,0.6999473490155224
22.0,1.0,1,36474,1,4,1,13,5936640,0,0,0.7092607604412382
33.0,0.0,2,54056,1,2,1,20,7563910,1,0,0.7698585742141875
21.0,1.0,0,21673,1,1,0,7,5923040,1,0,0.6379843993734239
41.0,0.0,2,54520,1,2,1,22,1277510,0,0,0.7050484531983688
29.0,1.0,1,32150,3,1,0,4,2626230,1,0,0.7340256711699624
29.0,1.0,2,79801,3,1,0,4,812040,1,0,0.5955893821231233
29.0,1.0,2,101494,3,1,1,3,142560,0,0,0.6753359528111106
42.0,0.0,0,53454,3,1,0,0,0,0,0,0.6098957440667345
23.0,1.0,1,57931,1,1,1,2,0,0,0,0.5313237578674669
33.0,0.0,1,104712,2,2,0,80,20011620,1,0,0.683166962884123
31.0,0.0,1,49936,1,2,1,5,1567300,0,0,0.654375558571176
35.0,0.0,0,18788,2,1,1,14,0,0,0,0.698531179865061
36.0,0.0,1,35219,2,2,1,7,2465510,0,0,0.7740665011127292
43.0,1.0,0,38624,2,1,1,4,145450,0,0,0.683166962884123
34.0,1.0,0,51781,2,1,1,11,1320320,0,0,0.7194295503654974
36.0,1.0,2,48059,3,1,1,4,210670,0,0,0.6342365899109041
29.0,0.0,2,54358,1,1,1,4,355360,0,0,0.7194295503654974
31.0,0.0,1,130429,3,1,1,7,300000,0,0,0.7194295503654974
44.0,0.0,0,95388,4,1,1,29,0,0,0,0.7302630624839633
36.0,0.0,2,137911,2,4,0,90,54792310,1,1,0.5953765525951102
26.0,0.0,2,66599,2,1,0,12,4336590,1,0,0.654375558571176
26.0,1.0,1,105931,3,1,1,12,1510890,0,0,0.5955893821231233
35.0,0.0,0,86516,3,1,0,5,240920,0,0,0.7028288409112735
34.0,0.0,1,63632,2,2,0,2,1015390,0,0,0.6989110821540374
29.0,0.0,2,34741,1,1,0,8,3695100,1,0,0.7050484531983688
28.0,1.0,2,110445,2,2,1,3,960000,0,0,0.5955893821231233
33.0,0.0,1,71776,3,1,0,0,301150,0,0,0.7028288409112735
33.0,1.0,2,57888,1,1,1,8,0,0,0,0.7092607604412382
27.0,1.0,0,18928,1,1,0,5,942840,1,0,0.6342365899109041
32.0,0.0,1,35584,1,1,1,8,0,0,0,0.7340256711699624
33.0,1.0,1,42953,2,1,0,1,0,0,0,0.5953765525951102
34.0,1.0,1,41298,3,1,1,14,3210720,1,0,0.654375558571176
33.0,0.0,1,112322,4,1,1,14,0,0,0,0.7302630624839633
44.0,1.0,0,64702,2,1,1,3,106510,0,0,0.6999473490155224
22.0,0.0,0,36116,2,1,1,1,0,0,0,0.6753359528111106
35.0,0.0,0,40926,2,1,1,2,429430,0,0,0.8160639742891412
29.0,1.0,1,105966,3,2,0,8,4689800,1,0,0.7050484531983688
32.0,1.0,2,54903,3,1,1,2,0,0,0,0.8160639742891412
24.0,1.0,0,15327,1,1,1,4,0,0,0,0.684190247889322
35.0,0.0,1,76548,1,2,0,51,16118660,1,0,0.5313237578674669
27.0,0.0,1,97203,3,1,1,2,0,0,0,0.6077892105070524
33.0,0.0,2,40041,1,2,0,1,186080,0,0,0.5700438883328994
31.0,0.0,2,78143,2,3,1,8,4173650,0,0,0.5955893821231233
29.0,1.0,1,45969,2,1,1,9,4618180,1,0,0.6342365899109041
32.0,0.0,2,42368,3,1,1,22,100680,0,0,0.7028288409112735
30.0,0.0,2,77011,2,1,1,4,532480,0,0,0.6379843993734239
35.0,1.0,1,36967,2,1,0,2,0,0,0,0.654375558571176
33.0,1.0,1,38546,1,1,1,4,200000,0,0,0.7340256711699624
48.0,1.0,1,71072,2,1,1,47,1555490,0,0,0.5313237578674669
35.0,0.0,2,31411,1,1,0,4,1403820,1,0,0.7340256711699624
36.0,1.0,2,127380,2,2,1,62,5474330,0,0,0.6342365899109041
29.0,0.0,0,51840,2,1,0,4,2457760,1,0,0.7698585742141875
28.0,0.0,1,40008,1,1,0,17,6583320,1,0,0.7340256711699624
41.0,1.0,2,55762,1,2,1,15,1617190,0,0,0.7740665011127292
23.0,1.0,0,30083,1,3,1,3,1500340,0,0,0.7302630624839633
28.0,1.0,2,62909,2,1,1,14,860000,0,0,0.6999473490155224
32.0,0.0,0,13037,1,1,1,7,0,0,0,0.6379843993734239
45.0,1.0,1,22931,1,2,1,15,2576870,0,0,0.7340256711699624
28.0,1.0,1,17186,1,1,1,2,0,0,0,0.7092607604412382
45.0,1.0,0,49509,2,1,1,7,580610,0,0,0.7340256711699624
30.0,1.0,0,59241,2,1,1,1,0,0,0,0.684190247889322
32.0,0.0,1,31831,1,1,1,15,420720,0,0,0.7698585742141875
45.0,0.0,2,123729,2,2,0,66,34707890,1,0,0.7340256711699624
31.0,1.0,2,82632,3,1,1,3,999000,1,0,0.5953765525951102
26.0,0.0,2,57667,1,1,1,1,308510,0,0,0.7740665011127292
26.0,1.0,0,79461,3,1,1,4,0,0,0,0.7092607604412382
41.0,0.0,1,118215,4,1,0,17,39090190,1,0,0.7295003150180094
32.0,0.0,2,76536,3,4,0,11,5950210,0,0,0.6999473490155224
29.0,1.0,1,31052,1,3,1,21,3208020,1,0,0.7092607604412382
42.0,1.0,2,85450,2,2,1,10,22269520,1,0,0.6342365899109041
37.0,1.0,0,113807,3,1,1,5,0,0,0,0.7302630624839633
28.0,0.0,2,103494,1,4,1,43,13697710,0,0,0.7028288409112735
27.0,0.0,1,62931,1,2,0,31,13234050,1,0,0.5955893821231233
40.0,0.0,2,130781,3,1,1,10,0,0,0,0.7302630624839633
35.0,0.0,0,70677,3,1,1,2,0,0,0,0.6741618832945772
31.0,1.0,2,58323,1,2,1,10,1473770,0,0,0.6753359528111106
38.0,1.0,0,97116,3,1,1,4,517690,0,0,0.5700438883328994
31.0,0.0,1,135436,5,1,1,14,0,0,0,0.8160639742891412
32.0,0.0,2,110299,3,1,0,6,7091010,1,0,0.6379843993734239
29.0,0.0,0,31182,1,1,0,0,0,0,0,0.6379843993734239
34.0,0.0,1,83615,3,1,0,4,1742320,1,0,0.6001946113311858
27.0,0.0,0,69388,1,4,0,35,36389370,0,0,0.654375558571176
34.0,0.0,2,81352,3,1,1,16,3050100,1,0,0.8160639742891412
41.0,0.0,1,34780,2,1,0,0,0,0,0,0.6753359528111106
42.0,0.0,1,57593,1,2,0,39,34913070,1,1,0.6999473490155224
26.0,0.0,2,67490,1,2,0,56,23542730,1,0,0.683166962884123
34.0,0.0,2,101880,3,1,0,7,5003700,1,0,0.5700438883328994
37.0,0.0,1,37839,2,2,1,7,1724200,0,0,0.7065528646360607
31.0,0.0,1,42243,1,3,0,29,11318750,1,0,0.7740665011127292
31.0,1.0,2,36430,2,1,1,6,0,0,0,0.6999473490155224
29.0,0.0,0,19456,1,1,1,1,211440,0,0,0.7302630624839633
29.0,1.0,1,51497,1,2,1,25,2330430,0,0,0.6379843993734239
38.0,0.0,2,44720,2,1,1,7,1296780,1,0,0.6098957440667345
33.0,0.0,0,40531,2,1,1,6,0,0,0,0.7194295503654974
35.0,1.0,0,19290,1,1,1,5,228920,0,0,0.763421552435784
23.0,1.0,0,13937,1,1,0,0,0,0,0,0.7050484531983688
34.0,1.0,2,88414,3,1,0,14,5958340,1,0,0.6098957440667345
38.0,1.0,1,110490,4,1,1,14,1450000,1,0,0.654375558571176
26.0,1.0,2,81944,1,1,1,16,665120,0,0,0.683166962884123
40.0,0.0,0,24752,3,1,0,3,388710,0,0,0.5700438883328994
26.0,0.0,1,41980,2,1,1,1,0,0,0,0.5955893821231233
30.0,1.0,0,108768,1,1,1,26,382150,1,0,0.7302630624839633
37.0,0.0,1,46131,1,1,0,0,1187640,1,0,0.6342365899109041
33.0,0.0,1,84637,3,1,1,5,0,0,0,0.8160639742891412
36.0,0.0,0,73273,2,1,0,10,0,0,0,0.7092607604412382
26.0,0.0,2,43322,1,2,1,18,1520540,0,0,0.7302630624839633
30.0,0.0,2,62042,2,1,1,6,0,0,0,0.7028288409112735
32.0,1.0,1,58943,1,2,1,36,6576490,1,0,0.7740665011127292
31.0,1.0,0,50210,3,1,0,1,0,0,0,0.7302630624839633
27.0,0.0,0,105510,3,1,0,1,0,0,0,0.6098957440667345
43.0,0.0,2,56243,2,1,0,9,2041340,1,0,0.7698585742141875
33.0,0.0,1,59656,2,4,0,38,23441990,1,0,0.5953765525951102
29.0,0.0,0,44820,2,1,0,2,0,0,0,0.5313237578674669
36.0,0.0,1,25894,3,1,0,12,0,0,0,0.5955893821231233
29.0,1.0,1,57476,3,1,1,3,488410,0,0,0.6753359528111106
34.0,0.0,0,63181,1,2,1,22,4220370,0,0,0.6741618832945772
33.0,0.0,1,54288,2,1,1,11,3721270,1,0,0.683166962884123
41.0,0.0,1,87182,3,1,1,10,0,0,0,0.6989110821540374
23.0,0.0,2,69449,2,1,1,10,0,0,0,0.7092607604412382
33.0,0.0,2,35024,1,2,0,56,8862230,1,0,0.6741618832945772
32.0,0.0,2,22913,1,1,0,1,0,0,0,0.6001946113311858
37.0,1.0,1,18285,1,1,1,12,386590,0,0,0.6989110821540374
45.0,1.0,1,123216,1,4,0,49,34007130,1,0,0.5955893821231233
30.0,1.0,1,28308,1,2,0,17,8598800,1,0,0.5955893821231233
39.0,1.0,0,85693,1,1,1,29,3880190,1,0,0.763421552435784
23.0,1.0,1,87853,1,3,1,7,8595450,1,0,0.6989110821540374
36.0,0.0,1,107149,3,1,0,11,0,0,0,0.7028288409112735
25.0,0.0,0,18544,2,1,0,20,1750310,1,0,0.6989110821540374
36.0,0.0,1,45071,2,1,1,4,0,0,0,0.6001946113311858
29.0,0.0,2,75986,3,1,0,16,17467630,1,0,0.5313237578674669
29.0,0.0,0,51600,2,1,1,2,0,0,0,0.5313237578674669
37.0,1.0,1,63587,2,1,1,8,1818860,1,0,0.5955893821231233
29.0,1.0,2,70816,2,1,1,7,1445280,1,0,0.6098957440667345
30.0,0.0,1,38990,2,1,1,18,1923530,0,0,0.7065528646360607
35.0,1.0,2,23182,1,1,1,1,0,0,0,0.7698585742141875
40.0,1.0,2,82503,3,1,1,7,712590,0,0,0.7698585742141875
36.0,1.0,1,42314,2,1,0,6,3360700,1,0,0.5313237578674669
48.0,0.0,2,76195,1,2,1,53,6521890,1,0,0.6342365899109041
41.0,0.0,2,100303,3,1,1,1,0,0,0,0.7740665011127292
31.0,0.0,1,54209,2,3,0,5,2431500,0,0,0.6989110821540374
33.0,0.0,1,75467,3,1,1,14,2007550,1,0,0.6989110821540374
38.0,1.0,0,65696,2,1,0,25,36806180,1,1,0.6098957440667345
30.0,0.0,1,40253,2,1,1,18,5522460,1,0,0.654375558571176
35.0,1.0,0,84961,2,2,0,63,38028190,1,0,0.6753359528111106
31.0,1.0,2,48639,2,1,1,4,0,0,0,0.5700438883328994
26.0,1.0,2,92670,3,1,0,1,127800,0,0,0.684190247889322
33.0,0.0,2,60252,2,3,1,50,4315560,0,0,0.6077892105070524
32.0,0.0,2,50434,2,3,1,50,5353970,0,0,0.6989110821540374
33.0,0.0,2,29689,1,2,1,7,1193450,0,0,0.698531179865061
37.0,0.0,0,34849,2,1,1,12,0,0,0,0.6741618832945772
33.0,1.0,1,30951,2,1,1,9,456480,0,0,0.6077892105070524
35.0,0.0,0,49614,2,1,1,15,618510,1,0,0.7050484531983688
38.0,0.0,1,62810,3,1,0,4,927300,1,0,0.5313237578674669
29.0,0.0,2,63080,3,1,0,0,0,0,0,0.7302630624839633
27.0,0.0,2,62232,1,1,1,3,0,0,0,0.7028288409112735
29.0,0.0,2,46600,2,1,1,1,4081830,1,0,0.7698585742141875
24.0,0.0,1,17676,1,2,1,5,1542500,0,0,0.5953765525951102
39.0,1.0,0,78647,3,1,0,10,2567880,1,0,0.5955893821231233
32.0,1.0,1,81547,3,1,1,1,0,0,0,0.7295003150180094
32.0,0.0,1,49914,3,1,1,4,0,0,0,0.683166962884123
25.0,0.0,1,45531,2,1,0,8,153540,0,0,0.7740665011127292
29.0,0.0,2,66017,2,1,1,9,1005120,0,0,0.6989110821540374
31.0,0.0,2,42395,1,1,1,8,0,0,0,0.683166962884123
32.0,1.0,0,31787,2,1,1,5,0,0,0,0.6741618832945772
29.0,0.0,2,56133,1,1,0,1,0,0,0,0.5953765525951102
41.0,0.0,2,55115,2,1,0,0,0,0,0,0.5955893821231233
31.0,1.0,2,26850,2,1,1,6,820140,0,0,0.6098957440667345
39.0,0.0,1,114358,2,2,0,96,34495110,1,0,0.683166962884123
38.0,0.0,2,59166,1,4,1,24,9000520,0,0,0.7340256711699624
28.0,1.0,2,113120,1,2,1,49,3435990,0,0,0.654375558571176
31.0,1.0,0,42601,1,1,1,5,0,0,0,0.7698585742141875
40.0,1.0,0,32446,1,1,0,0,0,0,0,0.7065528646360607
36.0,1.0,2,64187,3,1,0,1,0,0,0,0.7050484531983688
27.0,0.0,0,70740,1,1,1,15,931110,0,0,0.698531179865061
32.0,0.0,2,67113,2,1,1,3,388440,0,0,0.7194295503654974
33.0,0.0,0,63298,3,1,0,11,4702900,1,0,0.6077892105070524
37.0,1.0,0,55313,3,1,1,5,523440,0,0,0.683166962884123
26.0,0.0,2,80746,1,2,1,14,2966980,0,0,0.6342365899109041
31.0,0.0,2,42588,1,1,1,2,543220,1,0,0.763421552435784
40.0,1.0,0,58747,1,4,0,34,15440080,1,0,0.5953765525951102
36.0,0.0,1,83969,3,1,0,5,0,0,0,0.7302630624839633
28.0,0.0,1,66179,2,1,0,12,5377060,1,0,0.6989110821540374
41.0,0.0,0,63636,2,2,1,15,2452190,0,0,0.5313237578674669
41.0,1.0,2,52632,1,1,1,19,101070,0,0,0.7028288409112735
47.0,0.0,0,53383,2,1,1,5,485450,0,0,0.5953765525951102
39.0,1.0,0,88813,1,1,0,74,17134040,1,0,0.5955893821231233
33.0,1.0,1,58199,2,1,1,2,0,0,0,0.7302630624839633
36.0,0.0,1,121419,1,3,1,55,28562340,0,0,0.6379843993734239
28.0,1.0,1,56035,1,4,1,25,13627070,0,0,0.683166962884123
30.0,0.0,0,21212,1,1,1,4,150160,0,0,0.6989110821540374
46.0,0.0,1,22019,2,1,1,5,1453360,1,0,0.7194295503654974
29.0,0.0,1,40409,2,1,1,5,0,0,0,0.654375558571176
28.0,1.0,1,45871,2,2,0,1,3791340,1,0,0.7194295503654974
33.0,1.0,1,77903,3,1,1,0,1835070,1,0,0.7302630624839633
35.0,0.0,2,113038,2,1,1,56,6883410,0,0,0.6999473490155224
34.0,0.0,1,39131,1,1,1,5,101850,0,0,0.8160639742891412
23.0,0.0,1,70731,2,1,1,8,0,0,0,0.6077892105070524
33.0,1.0,0,29584,2,1,1,5,0,0,0,0.8160639742891412
35.0,0.0,0,83524,2,1,1,2,0,0,0,0.7740665011127292
36.0,1.0,0,87661,1,2,1,45,8687010,1,0,0.6098957440667345
37.0,0.0,1,75541,2,1,1,5,504150,0,0,0.6077892105070524
23.0,0.0,2,26151,1,2,1,0,1121790,0,0,0.7740665011127292
38.0,0.0,0,45269,1,1,1,11,378640,0,0,0.7302630624839633
31.0,1.0,2,40295,1,1,1,4,126010,0,0,0.5313237578674669
36.0,1.0,1,91602,2,1,1,2,0,0,0,0.6741618832945772
30.0,1.0,2,122941,3,1,0,5,3150620,1,0,0.7092607604412382
46.0,0.0,0,29151,1,1,1,2,763920,1,0,0.763421552435784
30.0,1.0,0,35803,2,4,0,3,3357550,0,0,0.6999473490155224
24.0,1.0,0,34497,2,1,1,9,-645150,0,0,0.7194295503654974
36.0,0.0,0,28575,1,1,1,10,487460,0,0,0.5955893821231233
35.0,1.0,1,93000,1,2,0,66,15298690,1,0,0.5313237578674669
37.0,1.0,0,52753,2,1,1,2,0,0,0,0.6741618832945772
32.0,0.0,2,19791,1,1,1,2,0,0,0,0.7194295503654974
32.0,1.0,2,134302,1,1,1,16,32819830,1,0,0.7194295503654974
37.0,0.0,0,75133,3,1,1,3,0,0,0,0.698531179865061
36.0,1.0,1,93822,3,1,0,4,0,0,0,0.6753359528111106
22.0,1.0,0,39442,1,2,1,13,2778590,0,0,0.7295003150180094
